query,baseline_results,comparison_results,baseline_count,comparison_count,jaccard_similarity
,[None],[None],1,1,1.0
300,"['17927', '1271', '11064', '10439', '2179', '9889', '10153', '53182', '308266', '335788']","['17927', '1271', '11064', '10439', '2179', '9889', '10153', '53182', '308266', '335788']",10,10,1.0
300 rise of an empire,"['53182', '98', '1891', '554152', '522627', '11', '11064', '914', '10439', '347026']",['53182'],10,1,0.1
a lego movie,"['137106', '324849', '280217', '251471', '274862', '504997', '244007', '24128', '284', '393629']","['137106', '324849', '280217', '251471', '274862', '504997', '244007', '24128', '284', '393629']",10,10,1.0
annie,"['1700', '1162', '25209', '627', '703', '103', '688', '248', '862', '492188']","['1700', '1162', '25209', '627', '703', '103', '688', '248', '862', '492188']",10,10,1.0
battlestar galactica,['148980'],['148980'],1,1,1.0
black swan,"['44214', '128578', '5693', '84332', '411019', '117', '27322', '22586', '483', '33364']","['44214', '128578', '5693', '84332', '411019', '117', '27322', '22586', '483', '33364']",10,10,1.0
christmas vacation,"['5825', '80278', '771', '9479', '41521', '10437', '11153', '15250', '632', '400155']","['5825', '80278', '771', '9479', '41521', '10437', '11153', '15250', '632', '400155']",10,10,1.0
cocoon,"['15389', '11285']","['15389', '11285']",2,2,1.0
contact,"['14278', '679', '73', '82702', '199', '137113', '68730', '686', '35691', '174772']","['14278', '679', '73', '82702', '199', '137113', '68730', '686', '35691', '174772']",10,10,1.0
crocodile dundee,"['9671', '9290', '29715', '16305', '10539', '177699', '13022', '8974', '30062', '9825']","['9671', '9290', '29715', '16305', '10539', '177699', '13022', '8974', '30062', '9825']",10,10,1.0
crocodile dundee 2,"['9671', '9290', '29715', '16305', '39862', '10539', '414419', '177699', '142061', '41662']","['9671', '9290', '39862']",10,3,0.3
crocodile dundee ii,"['9671', '9290', '29715', '16305', '315839', '11046', '11324', '515001', '10539', '240']","['9671', '9290']",10,2,0.2
crouching tiger hidden dragon,"['263341', '166428', '10191', '82702', '10674', '252', '87827', '13938', '9461', '22752']",['263341'],10,1,0.1
dark knight,"['155', '49026', '142061', '123025', '14919', '13851', '183011', '471474', '268', '539']","['142061', '123025', '14919', '13851', '49026', '183011', '471474', '155', '268', '539']",10,10,1.0
die hard,"['562', '1572', '1573', '1571', '47964', '13063', '4836', '398818', '176', '157336']","['1572', '13063', '1573', '562', '4836', '398818', '1571', '176', '157336', '137113', '1572', '13063', '1573', '562', '4836', '398818', '1571', '176', '157336', '137113']",10,20,0.8181818181818182
emma,"['673', '375262', '914', '378107', '12445', '12104', '246741', '406997', '122', '14160']","['673', '375262', '914', '378107', '12445', '12104', '246741', '406997', '122', '14160']",10,10,1.0
fight club,"['550', '440777', '14840', '2108', '13973', '315839', '152532', '79120', '10784', '26555']","['14840', '550', '2108', '13973', '315839', '152532', '79120', '10784', '26555', '19931']",10,10,0.8181818181818182
forest gump,"['13', '6844', '363683', '764', '1523', '792', '3170', '22067', '132363', '8358']","['13', '6844', '363683', '764', '1523', '792', '3170', '22067', '132363', '8358']",10,10,1.0
forrest gump,"['13', '6844', '28', '11036', '1939', '592', '923', '16323', '314365', '38765']","['13', '6844', '28', '11036', '1939', '592', '923', '16323', '314365', '38765']",10,10,1.0
french connection,"['1051', '975', '527641', '530915', '76', '382127', '19067', '2062', '58227', '11773']","['1051', '975', '527641', '530915', '76', '382127', '19067', '2062', '58227', '11773']",10,10,1.0
grand budapest,"['120467', '33680', '209185', '342473', '11', '562', '942', '20379', '420817', '31527']","['120467', '33680', '209185', '342473', '11', '562', '942', '20379', '420817', '31527']",10,10,1.0
her,"['564766', '487283', '244007', '14840', '19542', '470044', '705', '278', '50014', '38']","['564766', '487283', '244007', '14840', '19542', '470044', '705', '278', '50014', '38']",10,10,1.0
how to train dragon,"['82702', '166428', '10191', '845', '3482', '10674', '11893', '9461', '22752', '13938']","['82702', '166428', '10191', '845', '49444', '6623', '184315']",10,7,0.3076923076923077
how to train your dragon,"['82702', '10191', '166428', '845', '76', '11558', '16999', '3482', '6687', '22798']","['82702', '166428', '10191']",10,3,0.3
how to train your dragon 2,"['82702', '166428', '10191', '845', '76', '11558', '49444', '16999', '70006', '3482']","['82702', '166428', '10191', '49444']",10,4,0.4
indiana jones,"['89', '87', '85', '217', '5693', '13008', '13259', '455980', '278', '1891']","['85', '87', '89', '5693', '13008', '13259', '455980', '278', '1891', '426']",10,10,0.8181818181818182
jobs,"['1779', '321697', '17483', '323272', '50014', '115782', '296096', '44639', '346648', '5719']","['1779', '321697', '17483', '323272', '50014', '115782', '296096', '44639', '346648', '5719']",10,10,1.0
kill bill,"['393', '414419', '24', '324786', '10774', '967', '218', '595', '497', '996']","['414419', '393', '24', '324786', '10774', '967', '218', '595', '497', '996', '414419', '393', '24', '46691', '8141', '315']",10,16,0.7692307692307693
kill bill 2,"['414419', '393', '24', '324786', '260513', '10774', '967', '625', '218', '595']","['414419', '393', '24', '324786', '260513', '10774', '967', '625', '218', '595']",10,10,1.0
kung fury,"['49444', '228150', '9502', '166428', '376290', '38077', '247', '9509', '464502', '38575']","['49444', '228150', '9502', '166428', '376290', '38077', '247', '9509', '464502', '38575']",10,10,1.0
last temptation of christ,"['11051', '23830', '615', '527641', '30973', '782', '665', '116', '14503', '12568']","['11051', '615', '14503', '2428', '11051', '23830', '615', '527641', '30973', '782', '665', '116', '14503', '12568']",10,14,0.9090909090909091
lego batman,"['324849', '137106', '142061', '251471', '14919', '123025', '504997', '45162', '280217', '364']","['324849', '137106', '142061', '251471', '14919', '123025', '504997', '45162', '280217', '364']",10,10,1.0
life aquatic,"['421', '487283', '297556', '570731', '14002', '238', '278', '13', '14160', '339877']","['421', '487283', '297556', '570731', '14002', '238', '278', '13', '14160', '339877']",10,10,1.0
life is beautiful,"['14002', '83860', '152742', '453', '27322', '34308', '501907', '50646', '11362', '570731']","['14002', '83860', '152742', '453', '27322', '34308', '501907', '50646', '11362', '570731']",10,10,1.0
mad max fury road,"['76341', '8810', '9355', '9659', '244786', '228150', '4148', '412202', '11576', '166428']",['76341'],10,1,0.1
martian,"['9849', '286217', '14011', '34086', '3166', '32307']","['9849', '286217', '14011', '34086', '3166', '32307']",6,6,1.0
matrix,"['603', '10999', '55931', '604', '1857', '605', '4247']","['603', '10999', '55931', '604', '1857', '605', '4247']",7,7,1.0
message in bottle,"['10207', '530915', '8393', '359940', '931', '1090', '43896', '9374', '13685', '13996']","['10207', '359940', '931', '1090', '43896', '9374', '13996', '301355', '71373', '10047']",10,10,0.5384615384615384
mr smith goes to washington,"['3083', '500', '787', '1883', '49471', '522212', '10315', '16391', '73575', '27322']","['3083', '787']",10,2,0.2
murray saves christmas,"['9647', '5825', '10149', '175555', '26386', '424', '9479', '14840', '10437', '15250']","['9647', '5825', '10149', '175555', '26386', '10433', '10719', '17352', '9647', '5825', '10149', '175555', '26386', '10433', '81182', '13358', '340402', '44718']",10,18,0.29411764705882354
oceans 11,"['33627', '14277', '1777', '283552', '9829', '9282', '8619', '72113', '13016', '71']","['33627', '14277', '1777', '283552', '9829', '9282', '8619', '72113', '13016', '71']",10,10,1.0
oceans eleven,"['33627', '639', '283552', '8619', '612', '11031', '299', '11446', '14433', '161']","['33627', '639', '283552', '8619', '612', '11031', '299', '11446', '14433', '161']",10,10,1.0
psycho,"['539', '1359', '5720', '10576', '168366', '27723', '276839', '85141', '35683', '11252']","['539', '1359', '5720', '10576', '168366', '27723', '276839', '85141', '35683', '11252', '539', '1359', '5720', '10576', '27723', '35683', '11252', '10726']",10,18,0.9090909090909091
pulp fiction,"['680', '18451', '43317', '10349', '487283', '157336', '27205', '324857', '1891', '152601']","['680', '18451', '43317', '10349', '487283', '157336', '27205', '324857', '1891', '152601']",10,10,1.0
raiders lost ark,"['62128', '85', '326215', '334543', '13001', '295196', '638', '352504', '679', '153']","['62128', '85']",10,2,0.2
raiders of the lost ark,"['62128', '85', '326215', '334543', '13001', '295196', '638', '679', '153', '50014']","['62128', '85']",10,2,0.2
rambo,"['1368', '1369', '7555', '1370', '522938', '13258', '28448', '61410', '64328', '6280']","['1368', '1369', '7555', '1370', '522938', '13258', '28448', '61410', '64328', '6280']",10,10,1.0
rocky,"['1366', '36685', '1374', '1367', '1246', '312221', '39495', '85', '296096', '8963']","['1366', '36685', '1374', '1367', '1246', '312221', '39495', '85', '296096', '8963']",10,10,1.0
rocky horror,"['36685', '1366', '1374', '1367', '1246', '21208', '312221', '39495', '85', '296096']","['36685', '1366', '1374', '1367', '1246', '21208', '312221', '39495', '85', '296096']",10,10,1.0
shawshank redemption,"['278', '11321', '142061', '513285', '38234', '450766', '8053', '227306', '187', '446021']","['278', '11321', '142061', '513285', '38234', '450766', '8053', '227306', '187', '446021']",10,10,1.0
social network,"['37799', '18467', '38408', '10774', '2640', '12626', '14275', '12104', '3175', '414425']","['37799', '18467', '38408', '10774', '2640', '12626', '14275', '12104', '3175', '414425']",10,10,1.0
sound of music,"['15121', '756', '872', '10784', '56680', '11644', '48392', '5123', '109264', '447332']","['15121', '756', '872', '10784', '56680', '11644', '48392', '5123', '109264', '570731']",10,10,0.8181818181818182
space jam,"['2300', '470333', '11093', '157336', '348', '782', '9549', '9016', '37094', '13363']","['2300', '470333', '11093', '157336', '348', '782', '9549', '9016', '37094', '13363']",10,10,1.0
star wars,"['11', '12180', '181808', '330459', '348350', '140607', '1895', '1893', '1894', '181812']","['12180', '322506', '85', '1895', '18046', '11', '330459', '181808', '348350', '140607']",10,10,0.5384615384615384
star wars new hope,"['330459', '12180', '85', '322506', '13416', '278', '11474', '140607', '1895', '18046']","['330459', '85', '13416', '140607']",10,4,0.4
the godfather,"['238', '240', '242', '400', '18973', '29464', '9835', '75579', '244007', '570731']","['238', '240', '400', '18973', '29464', '242', '9835', '75579', '244007', '570731']",10,10,1.0
the green mile,"['497', '9285', '65', '11575', '490132', '548786', '24739', '508763', '28', '33364']","['497', '9285', '65', '11575', '490132', '548786', '24739', '508763', '28', '103']",10,10,0.8181818181818182
the martian,"['286217', '9849', '14011', '244007', '570731', '278', '238', '34086', '240', '424']","['9849', '286217', '14011', '244007', '570731', '278', '238', '34086', '240', '424']",10,10,1.0
top gun,"['744', '7304', '376290', '1430', '25209', '650', '36593', '407862', '101', '5915']","['744', '7304', '376290', '1430', '25209', '650', '36593', '407862', '101', '5915']",10,10,1.0
tree of life,"['8967', '429762', '25016', '16958', '931', '493922', '512196', '72358', '487283', '995']","['429762', '8967', '16958', '931', '493922', '512196', '72358', '995', '138', '15250']",10,10,0.6666666666666666
war games,"['396', '101299', '131634', '14278', '70160', '860', '315839', '935', '28', '515001']","['396', '101299', '131634', '14278', '70160', '860', '315839', '935', '28', '515001']",10,10,1.0
wargames,['860'],['860'],1,1,1.0
wolf of wall st.,"['33909', '106646', '101299', '925', '31225', '12104', '89708', '9461', '27503', '222935']","['33909', '106646', '101299', '13369', '77953']",10,5,0.25
wolf of wall street,"['106646', '33909', '39037', '1988', '9586', '103370', '925', '12104', '540901', '13197']","['33909', '106646', '39037', '1988', '9586', '103370', '540901', '11363', '77948', '59108']",10,10,0.5384615384615384
wolf wall street,"['33909', '106646', '39037', '9586', '1988', '103370', '925', '12104', '13197', '540901']","['33909', '106646', '39037', '9586', '1988', '103370', '13197', '540901', '10673', '11363']",10,10,0.6666666666666666
